,state,county,1st,2nd,3rd,votes1,votes2,votes3,pct1,pct2,pct3,party1,party2,party3
74,Alabama,Lamar County,H. CLINTON,B. SANDERS,UNCOMMITTED,442.0,173.0,87.0,0.616,0.24100000000000002,0.121,D,D,D
75,Alabama,Lamar County,D. TRUMP,T. CRUZ,M. RUBIO,1810.0,692.0,466.0,0.504,0.193,0.13,R,R,R
76,Alabama,Lauderdale County,H. CLINTON,B. SANDERS,UNCOMMITTED,3676.0,1745.0,188.0,0.652,0.309,0.033,D,D,D
77,Alabama,Lauderdale County,D. TRUMP,M. RUBIO,T. CRUZ,7502.0,3320.0,3265.0,0.42100000000000004,0.187,0.183,R,R,R
78,Alabama,Lawrence County,H. CLINTON,B. SANDERS,UNCOMMITTED,2047.0,428.0,123.0,0.777,0.162,0.047,D,D,D
79,Alabama,Lawrence County,D. TRUMP,T. CRUZ,M. RUBIO,3604.0,1204.0,925.0,0.528,0.17600000000000002,0.135,R,R,R
80,Alabama,Lee County,H. CLINTON,B. SANDERS,UNCOMMITTED,7137.0,2464.0,67.0,0.736,0.254,0.006999999999999999,D,D,D
81,Alabama,Lee County,D. TRUMP,T. CRUZ,M. RUBIO,6934.0,4880.0,4734.0,0.33,0.23199999999999998,0.225,R,R,R
82,Alabama,Limestone County,H. CLINTON,B. SANDERS,UNCOMMITTED,3199.0,1120.0,57.0,0.728,0.255,0.013000000000000001,D,D,D
83,Alabama,Limestone County,D. TRUMP,T. CRUZ,M. RUBIO,8198.0,4082.0,3602.0,0.43,0.214,0.18899999999999997,R,R,R
84,Alabama,Lowndes County,H. CLINTON,B. SANDERS,UNCOMMITTED,3782.0,330.0,95.0,0.887,0.077,0.022000000000000002,D,D,D
85,Alabama,Lowndes County,D. TRUMP,T. CRUZ,B. CARSON,500.0,137.0,88.0,0.595,0.163,0.105,R,R,R
86,Alabama,Macon County,H. CLINTON,B. SANDERS,UNCOMMITTED,4293.0,483.0,26.0,0.892,0.1,0.005,D,D,D
87,Alabama,Macon County,D. TRUMP,T. CRUZ,B. CARSON,356.0,147.0,94.0,0.48,0.198,0.127,R,R,R
88,Alabama,Madison County,H. CLINTON,B. SANDERS,UNCOMMITTED,19995.0,8786.0,263.0,0.6859999999999999,0.301,0.009000000000000001,D,D,D
89,Alabama,Madison County,D. TRUMP,M. RUBIO,T. CRUZ,23791.0,17116.0,13622.0,0.36200000000000004,0.26,0.207,R,R,R
90,Alabama,Marengo County,H. CLINTON,B. SANDERS,UNCOMMITTED,3590.0,1092.0,622.0,0.6579999999999999,0.2,0.114,D,D,D
91,Alabama,Marengo County,D. TRUMP,T. CRUZ,M. RUBIO,580.0,228.0,127.0,0.539,0.212,0.11800000000000001,R,R,R
92,Alabama,Marion County,H. CLINTON,B. SANDERS,UNCOMMITTED,567.0,256.0,32.0,0.655,0.29600000000000004,0.037000000000000005,D,D,D
93,Alabama,Marion County,D. TRUMP,T. CRUZ,M. RUBIO,3503.0,1268.0,921.0,0.529,0.192,0.139,R,R,R
94,Alabama,Marshall County,H. CLINTON,B. SANDERS,UNCOMMITTED,1494.0,821.0,78.0,0.621,0.341,0.032,D,D,D
95,Alabama,Marshall County,D. TRUMP,M. RUBIO,T. CRUZ,9115.0,3785.0,2784.0,0.495,0.20600000000000002,0.151,R,R,R
96,Alabama,Mobile County,H. CLINTON,B. SANDERS,UNCOMMITTED,28927.0,5672.0,287.0,0.8270000000000001,0.162,0.008,D,D,D
97,Alabama,Mobile County,D. TRUMP,T. CRUZ,M. RUBIO,28326.0,13458.0,11850.0,0.452,0.215,0.18899999999999997,R,R,R
98,Alabama,Monroe County,H. CLINTON,B. SANDERS,UNCOMMITTED,2438.0,205.0,30.0,0.909,0.076,0.011000000000000001,D,D,D
99,Alabama,Monroe County,D. TRUMP,T. CRUZ,M. RUBIO,1966.0,658.0,596.0,0.521,0.174,0.158,R,R,R
100,Alabama,Montgomery County,H. CLINTON,B. SANDERS,UNCOMMITTED,28650.0,4266.0,232.0,0.862,0.128,0.006999999999999999,D,D,D
101,Alabama,Montgomery County,D. TRUMP,M. RUBIO,T. CRUZ,10517.0,5570.0,4700.0,0.39399999999999996,0.209,0.17600000000000002,R,R,R
102,Alabama,Morgan County,H. CLINTON,B. SANDERS,UNCOMMITTED,3897.0,1345.0,65.0,0.731,0.252,0.012,D,D,D
103,Alabama,Morgan County,D. TRUMP,T. CRUZ,M. RUBIO,10909.0,4828.0,4488.0,0.446,0.19699999999999998,0.183,R,R,R
104,Alabama,Perry County,H. CLINTON,B. SANDERS,UNCOMMITTED,2575.0,389.0,135.0,0.82,0.124,0.043,D,D,D
105,Alabama,Perry County,D. TRUMP,T. CRUZ,M. RUBIO,192.0,123.0,33.0,0.515,0.33,0.08800000000000001,R,R,R
106,Alabama,Pickens County,H. CLINTON,B. SANDERS,UNCOMMITTED,2326.0,453.0,233.0,0.762,0.14800000000000002,0.076,D,D,D
107,Alabama,Pickens County,D. TRUMP,T. CRUZ,M. RUBIO,1124.0,658.0,353.0,0.441,0.258,0.138,R,R,R
108,Alabama,Pike County,H. CLINTON,B. SANDERS,UNCOMMITTED,2183.0,379.0,34.0,0.8370000000000001,0.145,0.013000000000000001,D,D,D
109,Alabama,Pike County,D. TRUMP,T. CRUZ,M. RUBIO,2493.0,1092.0,798.0,0.46,0.201,0.147,R,R,R
110,Alabama,Randolph County,H. CLINTON,B. SANDERS,UNCOMMITTED,1236.0,328.0,161.0,0.706,0.187,0.092,D,D,D
111,Alabama,Randolph County,D. TRUMP,T. CRUZ,M. RUBIO,2352.0,942.0,584.0,0.516,0.207,0.128,R,R,R
112,Alabama,Russell County,H. CLINTON,B. SANDERS,UNCOMMITTED,4381.0,988.0,580.0,0.728,0.16399999999999998,0.096,D,D,D
113,Alabama,Russell County,D. TRUMP,T. CRUZ,M. RUBIO,1784.0,1016.0,463.0,0.474,0.27,0.12300000000000001,R,R,R
114,Alabama,Shelby County,H. CLINTON,B. SANDERS,UNCOMMITTED,6657.0,3755.0,151.0,0.628,0.354,0.013999999999999999,D,D,D
115,Alabama,Shelby County,D. TRUMP,T. CRUZ,M. RUBIO,18260.0,14005.0,12213.0,0.344,0.263,0.23,R,R,R
116,Alabama,St. Clair County,H. CLINTON,B. SANDERS,UNCOMMITTED,1808.0,745.0,42.0,0.693,0.28600000000000003,0.016,D,D,D
117,Alabama,St. Clair County,D. TRUMP,T. CRUZ,M. RUBIO,8596.0,5178.0,2586.0,0.446,0.26899999999999996,0.134,R,R,R
118,Alabama,Sumter County,H. CLINTON,B. SANDERS,UNCOMMITTED,2987.0,416.0,226.0,0.809,0.113,0.061,D,D,D
119,Alabama,Sumter County,D. TRUMP,T. CRUZ,M. RUBIO,166.0,45.0,39.0,0.591,0.16,0.139,R,R,R
120,Alabama,Talladega County,H. CLINTON,B. SANDERS,UNCOMMITTED,5561.0,782.0,68.0,0.865,0.122,0.011000000000000001,D,D,D
121,Alabama,Talladega County,D. TRUMP,T. CRUZ,M. RUBIO,6304.0,2468.0,1676.0,0.51,0.2,0.136,R,R,R
122,Alabama,Tallapoosa County,H. CLINTON,B. SANDERS,UNCOMMITTED,2658.0,308.0,35.0,0.88,0.102,0.012,D,D,D
123,Alabama,Tallapoosa County,D. TRUMP,T. CRUZ,M. RUBIO,4658.0,1325.0,1289.0,0.528,0.15,0.146,R,R,R
124,Alabama,Tuscaloosa County,H. CLINTON,B. SANDERS,UNCOMMITTED,12136.0,3444.0,193.0,0.767,0.218,0.012,D,D,D
125,Alabama,Tuscaloosa County,D. TRUMP,T. CRUZ,M. RUBIO,11652.0,7789.0,6333.0,0.375,0.25,0.204,R,R,R
126,Alabama,Walker County,H. CLINTON,B. SANDERS,UNCOMMITTED,1772.0,727.0,117.0,0.6709999999999999,0.275,0.044000000000000004,D,D,D
127,Alabama,Walker County,D. TRUMP,T. CRUZ,M. RUBIO,8394.0,3106.0,1652.0,0.551,0.204,0.10800000000000001,R,R,R
128,Alabama,Washington County,H. CLINTON,B. SANDERS,UNCOMMITTED,1511.0,562.0,492.0,0.575,0.214,0.187,D,D,D
129,Alabama,Washington County,D. TRUMP,T. CRUZ,M. RUBIO,1269.0,516.0,362.0,0.537,0.218,0.153,R,R,R
130,Alabama,Wilcox County,H. CLINTON,B. SANDERS,UNCOMMITTED,3337.0,410.0,155.0,0.843,0.10400000000000001,0.039,D,D,D
131,Alabama,Wilcox County,D. TRUMP,T. CRUZ,M. RUBIO,287.0,114.0,64.0,0.544,0.21600000000000003,0.121,R,R,R
132,Alabama,Winston County,H. CLINTON,B. SANDERS,UNCOMMITTED,303.0,138.0,9.0,0.667,0.304,0.02,D,D,D
133,Alabama,Winston County,D. TRUMP,T. CRUZ,M. RUBIO,3352.0,1076.0,708.0,0.561,0.18,0.11900000000000001,R,R,R
134,Alaska,Alaska,B. SANDERS,H. CLINTON,R. DE LA FUENTE,440.0,99.0,0.0,0.816,0.184,0.0,D,D,D
135,Alaska,Alaska,T. CRUZ,D. TRUMP,M. RUBIO,7973.0,7346.0,3318.0,0.364,0.335,0.151,R,R,R
136,Alaska,Alaska,B. SANDERS,H. CLINTON,R. DE LA FUENTE,440.0,99.0,0.0,0.816,0.184,0.0,D,D,D
137,Alaska,Alaska,T. CRUZ,D. TRUMP,M. RUBIO,7973.0,7346.0,3318.0,0.364,0.335,0.151,R,R,R
138,Arizona,Apache County,H. CLINTON,B. SANDERS,M. STEINBERG,4450.0,1933.0,102.0,0.664,0.28800000000000003,0.015,D,D,D
139,Arizona,Apache County,D. TRUMP,T. CRUZ,J. KASICH,1088.0,938.0,133.0,0.436,0.376,0.053,R,R,R
140,Arizona,Cochise County,H. CLINTON,B. SANDERS,M. O'MALLEY,4654.0,3265.0,133.0,0.565,0.397,0.016,D,D,D
141,Arizona,Cochise County,D. TRUMP,T. CRUZ,M. RUBIO,6339.0,3736.0,1122.0,0.498,0.293,0.08800000000000001,R,R,R
142,Arizona,Coconino County,H. CLINTON,B. SANDERS,H. HEWES,5738.0,6941.0,84.0,0.441,0.534,0.006,D,D,D
143,Arizona,Coconino County,D. TRUMP,T. CRUZ,M. RUBIO,3324.0,2843.0,1058.0,0.392,0.335,0.125,R,R,R
144,Arizona,Gila County,H. CLINTON,B. SANDERS,M. O'MALLEY,2196.0,1305.0,69.0,0.5920000000000001,0.35200000000000004,0.019,D,D,D
145,Arizona,Gila County,D. TRUMP,T. CRUZ,M. RUBIO,3065.0,1334.0,646.0,0.539,0.235,0.114,R,R,R
146,Arizona,Graham County,H. CLINTON,B. SANDERS,M. STEINBERG,937.0,851.0,34.0,0.491,0.446,0.018000000000000002,D,D,D
147,Arizona,Graham County,D. TRUMP,T. CRUZ,M. RUBIO,1501.0,1606.0,293.0,0.391,0.419,0.076,R,R,R
148,Arizona,Greenlee County,H. CLINTON,B. SANDERS,R. DE LA FUENTE,497.0,325.0,42.0,0.546,0.35700000000000004,0.046,D,D,D
149,Arizona,Greenlee County,D. TRUMP,T. CRUZ,M. RUBIO,282.0,237.0,47.0,0.44799999999999995,0.377,0.075,R,R,R
150,Arizona,La Paz County,H. CLINTON,B. SANDERS,R. DE LA FUENTE,309.0,259.0,10.0,0.517,0.433,0.017,D,D,D
151,Arizona,La Paz County,D. TRUMP,T. CRUZ,M. RUBIO,940.0,242.0,87.0,0.674,0.17300000000000001,0.062,R,R,R
