,state,county,1st,2nd,3rd,votes1,votes2,votes3,pct1,pct2,pct3,party1,party2,party3,primary_date,primary_type,edge1,edge2,edge3,Abbreviation,area_name,state_abbreviation,PST045214,PST040210,PST120214,POP010210,AGE135214,AGE295214,AGE775214,SEX255214,RHI125214,RHI225214,RHI325214,RHI425214,RHI525214,RHI625214,RHI725214,RHI825214,POP715213,POP645213,POP815213,EDU635213,EDU685213,VET605213,LFE305213,HSG010214,HSG445213,HSG096213,HSG495213,HSD410213,HSD310213,INC910213,INC110213,PVY020213,BZA010213,BZA110213,BZA115213,NES010213,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030214,LND110210,POP060210
1514,New Jersey,Cumberland County,H. CLINTON,B. SANDERS,,6875.0,3829.0,,0.642,0.358,,D,D,,06/07/16,Semi-closed primary,0.356666666667,-0.164333333333,-0.191333333333,NJ,Cumberland County,NJ,157389.0,156898.0,0.3,156898.0,6.8,23.8,13.6,48.4,72.1,21.9,1.6,1.4,0.1,2.8,29.3,47.9,88.0,10.5,25.3,77.0,14.3,8555.0,23.3,56348.0,67.1,20.2,168900.0,50676.0,2.86,22524.0,50750.0,17.5,2898.0,43640.0,-3.9,6032.0,8637.0,9.5,0.0,3.7,0.0,8.6,21.4,2591390.0,0.0,1952706.0,12566.0,155140.0,212.0,483.7,324.4
1515,New Jersey,Essex County,H. CLINTON,B. SANDERS,,75071.0,27449.0,,0.732,0.268,,D,D,,06/07/16,Semi-closed primary,0.165666666667,-0.0723333333333,-0.0933333333333,NJ,Essex County,NJ,795723.0,783987.0,1.5,783969.0,6.7,24.2,12.4,51.9,49.7,41.9,0.7,5.3,0.1,2.3,22.1,32.2,89.4,24.8,33.8,83.5,32.0,27099.0,32.4,314515.0,45.9,60.1,364800.0,277302.0,2.76,32181.0,55095.0,16.6,18765.0,287991.0,-0.5,60582.0,67880.0,21.0,0.5,6.4,0.1,11.4,30.9,10422670.0,12622517.0,7750635.0,10077.0,1335840.0,2617.0,126.21,6211.5
1516,New Jersey,Gloucester County,H. CLINTON,B. SANDERS,,17930.0,13988.0,,0.562,0.438,,D,D,,06/07/16,Semi-closed primary,0.0436666666667,0.0166666666667,-0.0613333333333,NJ,Gloucester County,NJ,290951.0,288288.0,0.9,288288.0,5.5,22.9,14.1,51.4,83.9,10.8,0.2,3.0,0.1,2.0,5.7,79.4,91.1,5.3,8.6,90.9,28.4,19351.0,28.2,112268.0,80.3,16.9,224700.0,104145.0,2.73,32600.0,74524.0,8.1,5894.0,87331.0,1.9,15030.0,20252.0,7.6,0.0,3.1,0.0,2.2,27.5,15679384.0,8962489.0,4352549.0,15216.0,379388.0,491.0,322.01,895.3
1517,New Jersey,Hudson County,H. CLINTON,B. SANDERS,,49798.0,25112.0,,0.665,0.335,,D,D,,06/07/16,Semi-closed primary,0.314666666667,-0.113333333333,-0.201333333333,NJ,Hudson County,NJ,669115.0,634277.0,5.5,634266.0,7.0,20.3,10.8,50.2,65.8,15.1,1.2,15.2,0.2,2.6,43.1,29.3,85.9,41.2,59.2,81.9,36.3,16139.0,34.2,277166.0,32.6,83.5,347200.0,243875.0,2.61,32641.0,58442.0,16.8,12879.0,211322.0,0.4,48782.0,55520.0,11.8,0.0,12.6,0.0,25.5,27.7,2614244.0,14524927.0,6099871.0,10350.0,880714.0,4621.0,46.19,13731.4
1518,New Jersey,Hunterdon County,H. CLINTON,B. SANDERS,,5373.0,5047.0,,0.516,0.484,,D,D,,06/07/16,Semi-closed primary,0.154666666667,0.0296666666667,-0.184333333333,NJ,Hunterdon County,NJ,126067.0,127351.0,-1.0,128349.0,3.9,21.2,15.7,50.6,92.0,2.7,0.2,3.7,0.1,1.2,6.2,86.5,91.7,8.4,10.8,94.2,47.6,7291.0,33.6,49705.0,84.5,14.9,404300.0,46816.0,2.61,50349.0,106143.0,4.0,3877.0,45457.0,1.5,11463.0,15120.0,0.0,0.0,3.4,0.0,0.0,29.8,0.0,629452.0,2186600.0,16865.0,175768.0,348.0,427.82,300.0
1519,New Mexico,Bernalillo County,H. CLINTON,B. SANDERS,,36937.0,38247.0,,0.491,0.509,,D,D,,06/07/16,Closed primary,0.129666666667,0.0116666666667,-0.140333333333,NM,Bernalillo County,NM,675551.0,662555.0,2.0,662564.0,6.3,22.9,14.2,51.0,84.9,3.4,5.8,2.7,0.2,3.0,49.0,40.2,83.8,10.9,31.0,87.4,32.1,55419.0,21.6,288400.0,63.2,24.5,186800.0,263135.0,2.5,26814.0,48801.0,18.0,15800.0,248438.0,-0.3,38835.0,53235.0,1.8,2.6,3.6,0.1,24.0,31.4,0.0,6134969.0,9396128.0,14942.0,1398044.0,1525.0,1160.83,570.8
1520,New Mexico,Catron County,H. CLINTON,B. SANDERS,,115.0,183.0,,0.386,0.614,,D,D,,06/07/16,Closed primary,0.218666666667,-0.0853333333333,-0.133333333333,NM,Catron County,NM,3556.0,3725.0,-4.5,3725.0,3.2,14.0,35.0,48.0,93.0,0.6,3.3,0.3,0.0,2.8,19.8,74.9,88.5,1.6,19.0,88.1,18.5,501.0,20.6,3280.0,88.5,0.2,158900.0,1581.0,2.23,20616.0,39826.0,19.7,58.0,393.0,-6.4,357.0,386.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7206.0,2084.0,2638.0,0.0,6923.69,0.5
1521,New Mexico,Chaves County,H. CLINTON,B. SANDERS,,1238.0,950.0,,0.566,0.434,,D,D,,06/07/16,Closed primary,0.228666666667,-0.00933333333333,-0.219333333333,NM,Chaves County,NM,65878.0,65645.0,0.4,65645.0,7.3,27.2,14.8,50.2,92.1,2.5,2.2,1.0,0.3,1.8,54.9,40.8,82.2,14.0,38.6,77.7,18.4,4801.0,17.4,26693.0,66.5,11.4,96800.0,23499.0,2.7,19492.0,39131.0,21.3,1443.0,17301.0,2.0,3083.0,4032.0,0.0,0.0,1.4,0.0,23.0,26.3,661458.0,0.0,836078.0,13392.0,92362.0,54.0,6065.28,10.8
1522,New Mexico,Cibola County,H. CLINTON,B. SANDERS,,1586.0,1494.0,,0.515,0.485,,D,D,,06/07/16,Closed primary,0.319666666667,-0.159333333333,-0.161333333333,NM,Cibola County,NM,27349.0,27213.0,0.5,27213.0,7.4,24.5,14.2,48.9,54.0,1.4,41.7,0.6,0.1,2.1,37.8,20.8,88.2,5.2,44.3,79.9,10.4,1858.0,22.8,11086.0,72.4,7.9,83800.0,8016.0,3.15,16129.0,37237.0,27.6,329.0,5067.0,-2.2,1008.0,1513.0,0.0,14.4,1.7,0.0,22.1,26.6,0.0,15859.0,217448.0,7992.0,117318.0,0.0,4539.48,6.0
1523,New Mexico,Colfax County,H. CLINTON,B. SANDERS,,949.0,740.0,,0.562,0.438,,D,D,,06/07/16,Closed primary,0.192666666667,-0.00933333333333,-0.183333333333,NM,Colfax County,NM,12680.0,13750.0,-7.8,13750.0,4.8,19.0,23.7,49.1,93.6,0.9,2.6,0.5,0.2,2.1,49.0,47.5,84.9,4.4,21.5,86.6,19.8,1390.0,14.5,10062.0,67.9,12.4,117100.0,5574.0,2.33,21387.0,37734.0,17.7,420.0,3225.0,-4.7,767.0,1363.0,0.0,0.0,0.0,0.0,18.6,21.0,0.0,45130.0,158777.0,12049.0,56884.0,13.0,3758.06,3.7
