,state,county,1st,2nd,3rd,votes1,votes2,votes3,pct1,pct2,pct3,party1,party2,party3,primary_date,primary_type,edge1,edge2,edge3,Abbreviation,area_name,state_abbreviation,PST045214,PST040210,PST120214,POP010210,AGE135214,AGE295214,AGE775214,SEX255214,RHI125214,RHI225214,RHI325214,RHI425214,RHI525214,RHI625214,RHI725214,RHI825214,POP715213,POP645213,POP815213,EDU635213,EDU685213,VET605213,LFE305213,HSG010214,HSG445213,HSG096213,HSG495213,HSD410213,HSD310213,INC910213,INC110213,PVY020213,BZA010213,BZA110213,BZA115213,NES010213,SBO001207,SBO315207,SBO115207,SBO215207,SBO515207,SBO415207,SBO015207,MAN450207,WTN220207,RTN130207,RTN131207,AFN120207,BPS030214,LND110210,POP060210
857,Louisiana,Livingston Parish,D. TRUMP,T. CRUZ,M. RUBIO,4918.0,4735.0,760.0,0.445,0.429,0.069,R,R,R,03/05/16,Closed primary,0.111666666667,0.0956666666667,-0.264333333333,LA,Livingston Parish,LA,135751.0,128040.0,6.0,128026.0,6.8,26.3,11.6,50.6,91.4,6.3,0.5,0.6,0.0,1.1,3.5,88.3,88.9,1.8,4.5,84.5,17.5,8788.0,34.3,53715.0,79.7,6.0,152500.0,46246.0,2.8,25076.0,56811.0,13.3,1654.0,19448.0,2.0,8757.0,10689.0,3.4,0.4,1.0,0.0,3.0,26.2,459902.0,483039.0,923742.0,7893.0,89170.0,703.0,648.17,197.5
858,Louisiana,Madison Parish,D. TRUMP,T. CRUZ,M. RUBIO,282.0,106.0,42.0,0.578,0.217,0.086,R,R,R,03/05/16,Closed primary,0.244666666667,-0.116333333333,-0.247333333333,LA,Madison Parish,LA,11843.0,12099.0,-2.1,12093.0,7.7,24.6,12.9,50.4,36.3,62.1,0.3,0.3,0.0,1.0,1.7,35.0,81.4,0.2,1.3,74.5,11.2,738.0,15.3,4925.0,53.9,14.0,69500.0,4068.0,2.58,13585.0,25498.0,40.3,212.0,2421.0,-2.6,712.0,968.0,37.6,0.0,0.0,0.0,0.0,36.0,0.0,153183.0,142503.0,12081.0,9396.0,49.0,624.44,19.4
859,Louisiana,Morehouse Parish,D. TRUMP,T. CRUZ,M. RUBIO,775.0,569.0,132.0,0.478,0.351,0.081,R,R,R,03/05/16,Closed primary,0.144666666667,0.0176666666667,-0.252333333333,LA,Morehouse Parish,LA,26760.0,27979.0,-4.4,27979.0,7.0,24.3,16.9,51.8,50.3,47.9,0.2,0.5,0.1,1.1,1.2,49.6,93.9,0.5,1.6,76.9,12.9,2068.0,25.1,12535.0,66.7,8.6,74600.0,10482.0,2.55,16683.0,28585.0,26.5,452.0,5182.0,0.5,1745.0,1729.0,25.7,0.0,0.0,0.0,0.0,0.0,0.0,255319.0,241374.0,8443.0,19773.0,16.0,794.93,35.2
860,Louisiana,Natchitoches Parish,D. TRUMP,T. CRUZ,M. RUBIO,1065.0,1047.0,334.0,0.385,0.378,0.121,R,R,R,03/05/16,Closed primary,0.0516666666667,0.0446666666667,-0.212333333333,LA,Natchitoches Parish,LA,39166.0,39566.0,-1.0,39566.0,6.4,23.6,15.3,52.3,54.8,41.4,1.0,0.6,0.0,2.0,2.2,53.3,86.7,1.2,2.3,81.5,21.6,2511.0,23.1,18770.0,62.1,16.4,97200.0,14903.0,2.57,20802.0,33953.0,26.0,819.0,10944.0,2.9,2251.0,2853.0,19.9,0.0,0.0,0.0,1.8,28.1,1006262.0,0.0,413982.0,10627.0,52432.0,38.0,1252.25,31.6
861,Louisiana,Orleans Parish,D. TRUMP,T. CRUZ,M. RUBIO,2821.0,2329.0,1884.0,0.314,0.259,0.21,R,R,R,03/05/16,Closed primary,-0.0193333333333,-0.0743333333333,-0.123333333333,LA,Orleans Parish,LA,384320.0,343829.0,11.8,343829.0,6.1,20.4,12.1,52.2,35.3,59.8,0.4,3.0,0.1,1.5,5.5,31.2,81.7,5.9,9.8,84.5,33.7,19685.0,23.0,192445.0,47.3,41.4,183700.0,148398.0,2.32,26500.0,37146.0,27.3,8669.0,164374.0,4.0,34136.0,27165.0,28.9,0.7,5.2,0.0,4.1,30.4,3088945.0,1938441.0,2718026.0,9434.0,2148176.0,1026.0,169.42,2029.4
862,Louisiana,Ouachita Parish,T. CRUZ,D. TRUMP,M. RUBIO,4872.0,4809.0,1380.0,0.395,0.39,0.112,R,R,R,03/05/16,Closed primary,0.0616666666667,0.0566666666667,-0.221333333333,LA,Ouachita Parish,LA,156325.0,153720.0,1.7,153720.0,7.0,25.5,13.3,52.1,60.0,37.3,0.3,1.0,0.0,1.3,2.2,58.5,85.9,1.5,2.6,84.7,22.9,10139.0,20.2,66292.0,60.4,18.2,118200.0,57551.0,2.57,21917.0,38955.0,23.2,4180.0,63093.0,2.7,12275.0,14399.0,17.3,0.0,1.8,0.0,0.8,30.9,0.0,0.0,2221645.0,14823.0,250288.0,704.0,610.41,251.8
863,Louisiana,Plaquemines Parish,D. TRUMP,T. CRUZ,M. RUBIO,705.0,371.0,127.0,0.537,0.282,0.097,R,R,R,03/05/16,Closed primary,0.203666666667,-0.0513333333333,-0.236333333333,LA,Plaquemines Parish,LA,23447.0,23042.0,1.8,23042.0,7.3,26.7,12.2,50.1,71.2,20.4,1.7,3.8,0.2,2.7,6.4,66.1,90.6,4.3,8.2,80.7,15.3,1749.0,25.9,9877.0,74.5,11.5,176900.0,8615.0,2.68,25748.0,55138.0,12.7,692.0,11040.0,-2.8,2248.0,2269.0,9.7,3.0,0.0,0.0,0.0,27.5,0.0,920966.0,113637.0,5322.0,43227.0,75.0,779.91,29.5
864,Louisiana,Pointe Coupee Parish,D. TRUMP,T. CRUZ,M. RUBIO,472.0,400.0,120.0,0.447,0.378,0.114,R,R,R,03/05/16,Closed primary,0.113666666667,0.0446666666667,-0.219333333333,LA,Pointe Coupee Parish,LA,22406.0,22802.0,-1.7,22802.0,6.2,23.0,18.2,52.0,62.5,35.6,0.3,0.4,0.0,1.2,2.5,60.6,91.3,1.8,4.7,81.0,14.3,1355.0,30.9,11287.0,78.0,4.0,113100.0,8818.0,2.55,23742.0,45363.0,17.7,370.0,4164.0,-1.1,1447.0,1663.0,12.3,0.0,0.0,0.0,0.0,31.4,0.0,177020.0,216342.0,9638.0,14042.0,54.0,557.35,40.9
865,Louisiana,Rapides Parish,T. CRUZ,D. TRUMP,M. RUBIO,3680.0,3397.0,888.0,0.422,0.389,0.102,R,R,R,03/05/16,Closed primary,0.0886666666667,0.0556666666667,-0.231333333333,LA,Rapides Parish,LA,132488.0,131613.0,0.7,131613.0,6.8,25.2,14.9,51.7,63.9,32.0,0.9,1.5,0.0,1.7,2.8,61.6,86.4,2.4,5.3,82.4,18.3,10775.0,23.1,57087.0,66.0,15.4,120400.0,47606.0,2.68,22126.0,40930.0,19.9,3147.0,47643.0,2.8,7650.0,9586.0,10.8,0.0,1.8,0.0,1.1,27.8,0.0,0.0,1910244.0,14369.0,0.0,282.0,1317.96,99.9
866,Louisiana,Red River Parish,T. CRUZ,D. TRUMP,M. RUBIO,300.0,220.0,49.0,0.491,0.36,0.08,R,R,R,03/05/16,Closed primary,0.157666666667,0.0266666666667,-0.253333333333,LA,Red River Parish,LA,8669.0,9091.0,-4.6,9091.0,7.0,24.7,16.6,51.6,58.9,39.5,0.5,0.2,0.0,0.8,1.6,57.6,92.0,0.2,1.0,76.3,11.9,569.0,30.0,4131.0,76.1,6.0,78700.0,3320.0,2.66,21443.0,39346.0,21.8,130.0,2049.0,-8.9,540.0,484.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,36722.0,4019.0,3469.0,0.0,389.09,23.4
