AAPL,20110719,2,1.1129
AAPL,20111018,3,1.0071
AAPL,20120124,0,1.9814
AAPL,20120424,1,1.7571
AAPL,20120724,2,1.3314
AAPL,20121025,3,1.2386
AAPL,20130123,0,1.9729
AAPL,20130423,1,1.4414
AAPL,20130723,2,1.0671
AAPL,20131028,3,1.18
AAPL,20140127,0,2.0714
AAPL,20140423,1,1.66
AAPL,20140722,2,1.28
AAPL,20141020,3,1.42
AAPL,20150127,0,3.06
AAPL,20150427,1,2.33
AAPL,20150721,2,1.85
AAPL,20151027,3,1.96
AAPL,20160126,0,3.28
AAPL,20160426,1,1.9
AAPL,20160726,2,1.42
AAPL,20161025,3,1.67
AAPL,20170131,0,3.36
AAPL,20170502,1,2.1
ABBV,20130426,1,0.68
ABBV,20130726,2,0.82
ABBV,20131025,3,0.82
ABBV,20140131,0,0.82
ABBV,20140425,1,0.71
ABBV,20140725,2,0.82
ABBV,20141031,3,0.89
ABBV,20150130,0,0.89
ABBV,20150423,1,0.94
ABBV,20150724,2,1.08
ABBV,20151030,3,1.13
ABBV,20160129,0,1.13
ABBV,20160428,1,1.15
ABBV,20160729,2,1.26
ABBV,20161028,3,1.21
ABBV,20170127,0,1.2
ABBV,20170427,1,1.28
ABT,19830407,1,0.0388
ABT,19830707,2,0.0438
ABT,19831014,3,0.0413
ABT,19840120,0,0.055
ABT,19840413,1,0.0456
ABT,19840713,2,0.0519
ABT,19841011,3,0.0475
ABT,19850118,0,0.0638
ABT,19850412,1,0.0531
ABT,19850712,2,0.06
ABT,19851010,3,0.055
ABT,19860116,0,0.0738
ABT,19860410,1,0.065
ABT,19860711,2,0.0713
ABT,19861010,3,0.0663
ABT,19870119,0,0.0875
ABT,19870410,1,0.0775
ABT,19870710,2,0.085
ABT,19871009,3,0.08
ABT,19880116,0,0.105
ABT,19880409,1,0.095
ABT,19880713,2,0.1025
ABT,19881012,3,0.095
ABT,19890116,0,0.125
ABT,19890411,1,0.11
ABT,19890713,2,0.12
ABT,19891010,3,0.11
ABT,19900115,0,0.1425
ABT,19900710,2,0.1375
ABT,19901008,3,0.1275
ABT,19910114,0,0.1625
ABT,19910417,1,0.1475
ABT,19910710,2,0.1575
ABT,19911008,3,0.1475
ABT,19920114,0,0.185
ABT,19920408,1,0.1725
ABT,19920708,2,0.185
ABT,19921009,3,0.1625
ABT,19930116,0,0.21
ABT,19930408,1,0.205
ABT,19930709,2,0.21
ABT,19931008,3,0.19
ABT,19940117,0,0.24
ABT,19940408,1,0.225
ABT,19940711,2,0.23
ABT,19941010,3,0.215
ABT,19950117,0,0.265
ABT,19950410,1,0.26
ABT,19950712,2,0.265
ABT,19951010,3,0.24
ABT,19960116,0,0.295
ABT,19960408,1,0.305
ABT,19960710,2,0.3
ABT,19961008,3,0.27
ABT,19970116,0,0.33
ABT,19970409,1,0.345
ABT,19970710,2,0.34
ABT,19971008,3,0.305
ABT,19980116,0,0.37
ABT,19980409,1,0.38
ABT,19980709,2,0.38
ABT,19981008,3,0.34
ABT,19990115,0,0.41
ABT,19990408,1,0.43
ABT,19990709,2,0.42
ABT,19991011,3,0.38
ABT,20000118,0,0.43
ABT,20000411,1,0.44
ABT,20000712,2,0.44
ABT,20001010,3,0.42
ABT,20010116,0,0.48
ABT,20010412,1,0.47
ABT,20010712,2,0.45
ABT,20011010,3,0.44
ABT,20020116,0,0.52
ABT,20020409,1,0.54
ABT,20020711,2,0.49
ABT,20021009,3,0.48
ABT,20030116,0,0.55
ABT,20030409,1,0.51
ABT,20030710,2,0.52
ABT,20031009,3,0.53
ABT,20040116,0,0.65
ABT,20040408,1,0.57
ABT,20040709,2,0.54
ABT,20041014,3,0.53
ABT,20050118,0,0.67
ABT,20050412,1,0.58
ABT,20050713,2,0.58
ABT,20051019,3,0.58
ABT,20060125,0,0.76
ABT,20060419,1,0.57
ABT,20060719,2,0.62
ABT,20061018,3,0.58
ABT,20070124,0,0.75
ABT,20070418,1,0.55
ABT,20070718,2,0.69
ABT,20071017,3,0.67
ABT,20080123,0,0.93
ABT,20080416,1,0.63
ABT,20080716,2,0.84
ABT,20081015,3,0.79
ABT,20090121,0,1.06
ABT,20090415,1,0.73
ABT,20090715,2,0.89
ABT,20091014,3,0.92
ABT,20100127,0,1.18
ABT,20100421,1,0.81
ABT,20100721,2,1.01
ABT,20101020,3,1.05
ABT,20110126,0,1.3
ABT,20110420,1,0.91
ABT,20110720,2,1.12
ABT,20111019,3,1.18
ABT,20120125,0,1.45
ABT,20120418,1,1.03
ABT,20120718,2,1.23
ABT,20121017,3,1.3
ABT,20130123,0,1.51
ABT,20130417,1,0.42
ABT,20130717,2,0.46
ABT,20131016,3,0.55
ABT,20140122,0,0.58
ABT,20140416,1,0.41
ABT,20140716,2,0.54
ABT,20141022,3,0.62
ABT,20150129,0,0.71
ABT,20150422,1,0.47
ABT,20150722,2,0.52
ABT,20151021,3,0.54
ABT,20160128,0,0.62
ABT,20160420,1,0.41
ABT,20160720,2,0.55
ABT,20161019,3,0.59
ABT,20170125,0,0.65
ABT,20170419,1,0.48
ABX,20020815,2,0.06
ABX,20021114,3,-8.8
ABX,20030215,0,0.07
ABX,20030515,1,0.06
ABX,20030814,2,0.07
ABX,20031114,3,-8.8
ABX,20040223,0,0.13
ABX,20040503,1,0.1
ABX,20040803,2,0.1
ABX,20050104,0,0.12
ABX,20050225,0,0.31
ABX,20050505,1,0.12
ABX,20050809,2,0.12
ABX,20051109,3,0.13
ABX,20060316,0,0.16
ABX,20060509,1,0.14
ABX,20060809,2,0.11
ABX,20061109,3,0.11
ABX,20070221,0,1.18
ABX,20070509,1,0.07
ABX,20070809,2,0.08
ABX,20071114,3,0.04
ABX,20080317,0,0.14
ABX,20080512,1,0.06
ABX,20080811,2,-0.01
ABX,20081114,3,0.08
ABX,20090323,0,-1.03
ABX,20090511,1,0.18
ABX,20090810,2,0.13
ABX,20091112,3,0.05
ABX,20100331,0,0.16
ABX,20100510,1,0.11
ABX,20100804,2,0.16
ABX,20101103,3,0.17
ABX,20110303,0,0.19
ABX,20110510,1,0.11
ABX,20110803,2,0.19
ABX,20111107,3,0.22
ABX,20120305,0,0.2
ABX,20120510,1,0.1
ABX,20120802,2,0.17
ABX,20121108,3,0.18
ABX,20130227,0,0.18
ABX,20130508,1,0.13
ABX,20130808,2,0.11
ABX,20131106,3,0.12
ABX,20140305,0,0.15
ABX,20140506,1,0.1
ABX,20140805,2,0.14
ABX,20141105,3,0.14
ABX,20150305,0,0.17
ABX,20150505,1,0.14
ABX,20150805,2,0.16
