,TICKER,quarternum,analyst,forecast_value,year,earn_value,std,Analyst_Counts,Max,Min,the max_forecast-min_forecast,delta_return,Y,Y_up,Y_down,quantile_0,quantile_10,quantile_20,quantile_30,quantile_40,quantile_50,quantile_60,quantile_70,quantile_80,quantile_90
AMGN02006,AMGN,0,73433,0.83,2006,0.75,0.029934795038934033,30,0.93,0.82,0.1100000000000001,-0.012399999999999967,0,0,0,0.16666666666666666,0.1,0.03333333333333333,0.03333333333333333,0.1,0.13333333333333333,0.2,0.13333333333333333,0.06666666666666667,0.03333333333333333
AMGN02006,AMGN,0,47462,0.86,2006,0.75,0.029934795038934033,30,0.93,0.82,0.1100000000000001,-0.012399999999999967,0,0,0,0.16666666666666666,0.1,0.03333333333333333,0.03333333333333333,0.1,0.13333333333333333,0.2,0.13333333333333333,0.06666666666666667,0.03333333333333333
AMGN02006,AMGN,0,58263,0.88,2006,0.75,0.029934795038934033,30,0.93,0.82,0.1100000000000001,-0.012399999999999967,0,0,0,0.16666666666666666,0.1,0.03333333333333333,0.03333333333333333,0.1,0.13333333333333333,0.2,0.13333333333333333,0.06666666666666667,0.03333333333333333
AMGN02006,AMGN,0,30721,0.87,2006,0.75,0.029934795038934033,30,0.93,0.82,0.1100000000000001,-0.012399999999999967,0,0,0,0.16666666666666666,0.1,0.03333333333333333,0.03333333333333333,0.1,0.13333333333333333,0.2,0.13333333333333333,0.06666666666666667,0.03333333333333333
AMGN02006,AMGN,0,41282,0.85,2006,0.75,0.029934795038934033,30,0.93,0.82,0.1100000000000001,-0.012399999999999967,0,0,0,0.16666666666666666,0.1,0.03333333333333333,0.03333333333333333,0.1,0.13333333333333333,0.2,0.13333333333333333,0.06666666666666667,0.03333333333333333
AMGN02006,AMGN,0,112204,0.9,2006,0.75,0.029934795038934033,30,0.93,0.82,0.1100000000000001,-0.012399999999999967,0,0,0,0.16666666666666666,0.1,0.03333333333333333,0.03333333333333333,0.1,0.13333333333333333,0.2,0.13333333333333333,0.06666666666666667,0.03333333333333333
AMGN02006,AMGN,0,76862,0.9,2006,0.75,0.029934795038934033,30,0.93,0.82,0.1100000000000001,-0.012399999999999967,0,0,0,0.16666666666666666,0.1,0.03333333333333333,0.03333333333333333,0.1,0.13333333333333333,0.2,0.13333333333333333,0.06666666666666667,0.03333333333333333
AMGN02006,AMGN,0,104521,0.89,2006,0.75,0.029934795038934033,30,0.93,0.82,0.1100000000000001,-0.012399999999999967,0,0,0,0.16666666666666666,0.1,0.03333333333333333,0.03333333333333333,0.1,0.13333333333333333,0.2,0.13333333333333333,0.06666666666666667,0.03333333333333333
AMGN02006,AMGN,0,108341,0.87,2006,0.75,0.029934795038934033,30,0.93,0.82,0.1100000000000001,-0.012399999999999967,0,0,0,0.16666666666666666,0.1,0.03333333333333333,0.03333333333333333,0.1,0.13333333333333333,0.2,0.13333333333333333,0.06666666666666667,0.03333333333333333
AMGN02006,AMGN,0,10643,0.88,2006,0.75,0.029934795038934033,30,0.93,0.82,0.1100000000000001,-0.012399999999999967,0,0,0,0.16666666666666666,0.1,0.03333333333333333,0.03333333333333333,0.1,0.13333333333333333,0.2,0.13333333333333333,0.06666666666666667,0.03333333333333333
AMGN02006,AMGN,0,77215,0.89,2006,0.75,0.029934795038934033,30,0.93,0.82,0.1100000000000001,-0.012399999999999967,0,0,0,0.16666666666666666,0.1,0.03333333333333333,0.03333333333333333,0.1,0.13333333333333333,0.2,0.13333333333333333,0.06666666666666667,0.03333333333333333
AMGN02006,AMGN,0,109237,0.87,2006,0.75,0.029934795038934033,30,0.93,0.82,0.1100000000000001,-0.012399999999999967,0,0,0,0.16666666666666666,0.1,0.03333333333333333,0.03333333333333333,0.1,0.13333333333333333,0.2,0.13333333333333333,0.06666666666666667,0.03333333333333333
AMGN02006,AMGN,0,86820,0.89,2006,0.75,0.029934795038934033,30,0.93,0.82,0.1100000000000001,-0.012399999999999967,0,0,0,0.16666666666666666,0.1,0.03333333333333333,0.03333333333333333,0.1,0.13333333333333333,0.2,0.13333333333333333,0.06666666666666667,0.03333333333333333
AMGN02006,AMGN,0,79843,0.88,2006,0.75,0.029934795038934033,30,0.93,0.82,0.1100000000000001,-0.012399999999999967,0,0,0,0.16666666666666666,0.1,0.03333333333333333,0.03333333333333333,0.1,0.13333333333333333,0.2,0.13333333333333333,0.06666666666666667,0.03333333333333333
AMGN02006,AMGN,0,81019,0.9,2006,0.75,0.029934795038934033,30,0.93,0.82,0.1100000000000001,-0.012399999999999967,0,0,0,0.16666666666666666,0.1,0.03333333333333333,0.03333333333333333,0.1,0.13333333333333333,0.2,0.13333333333333333,0.06666666666666667,0.03333333333333333
AMGN02006,AMGN,0,82577,0.83,2006,0.75,0.029934795038934033,30,0.93,0.82,0.1100000000000001,-0.012399999999999967,0,0,0,0.16666666666666666,0.1,0.03333333333333333,0.03333333333333333,0.1,0.13333333333333333,0.2,0.13333333333333333,0.06666666666666667,0.03333333333333333
AMGN02006,AMGN,0,81019,0.93,2006,0.75,0.029934795038934033,30,0.93,0.82,0.1100000000000001,-0.012399999999999967,0,0,0,0.16666666666666666,0.1,0.03333333333333333,0.03333333333333333,0.1,0.13333333333333333,0.2,0.13333333333333333,0.06666666666666667,0.03333333333333333
AMGN02006,AMGN,0,41282,0.84,2006,0.75,0.029934795038934033,30,0.93,0.82,0.1100000000000001,-0.012399999999999967,0,0,0,0.16666666666666666,0.1,0.03333333333333333,0.03333333333333333,0.1,0.13333333333333333,0.2,0.13333333333333333,0.06666666666666667,0.03333333333333333
AMGN02006,AMGN,0,31075,0.88,2006,0.75,0.029934795038934033,30,0.93,0.82,0.1100000000000001,-0.012399999999999967,0,0,0,0.16666666666666666,0.1,0.03333333333333333,0.03333333333333333,0.1,0.13333333333333333,0.2,0.13333333333333333,0.06666666666666667,0.03333333333333333
AMGN02006,AMGN,0,59394,0.83,2006,0.75,0.029934795038934033,30,0.93,0.82,0.1100000000000001,-0.012399999999999967,0,0,0,0.16666666666666666,0.1,0.03333333333333333,0.03333333333333333,0.1,0.13333333333333333,0.2,0.13333333333333333,0.06666666666666667,0.03333333333333333
AMGN02007,AMGN,0,59394,1.04,2007,0.9,0.058538753952281135,8,1.14,0.96,0.17999999999999994,-0.06769999999999998,0,0,0,0.125,0.0,0.0,0.25,0.125,0.25,0.0,0.0,0.0,0.25
AMGN02007,AMGN,0,82577,1.03,2007,0.9,0.058538753952281135,8,1.14,0.96,0.17999999999999994,-0.06769999999999998,0,0,0,0.125,0.0,0.0,0.25,0.125,0.25,0.0,0.0,0.0,0.25
AMGN02007,AMGN,0,81019,1.14,2007,0.9,0.058538753952281135,8,1.14,0.96,0.17999999999999994,-0.06769999999999998,0,0,0,0.125,0.0,0.0,0.25,0.125,0.25,0.0,0.0,0.0,0.25
AMGN02007,AMGN,0,75514,1.02,2007,0.9,0.058538753952281135,8,1.14,0.96,0.17999999999999994,-0.06769999999999998,0,0,0,0.125,0.0,0.0,0.25,0.125,0.25,0.0,0.0,0.0,0.25
AMGN02007,AMGN,0,59394,1.06,2007,0.9,0.058538753952281135,8,1.14,0.96,0.17999999999999994,-0.06769999999999998,0,0,0,0.125,0.0,0.0,0.25,0.125,0.25,0.0,0.0,0.0,0.25
AMGN02007,AMGN,0,82577,0.96,2007,0.9,0.058538753952281135,8,1.14,0.96,0.17999999999999994,-0.06769999999999998,0,0,0,0.125,0.0,0.0,0.25,0.125,0.25,0.0,0.0,0.0,0.25
AMGN02007,AMGN,0,59394,1.05,2007,0.9,0.058538753952281135,8,1.14,0.96,0.17999999999999994,-0.06769999999999998,0,0,0,0.125,0.0,0.0,0.25,0.125,0.25,0.0,0.0,0.0,0.25
