,surprise_median_fa,surprise_mean_fa,TICKER,year,quarternum,Skew,Kurtosis,delta_return,Y
"('2006', 3)",2.8128433856309725,2.8597241087248246,AMGN,2006,3,0.01004276819702486,0.92,0.023700000000000054,0
"('2006', 3)",2.8128433856309725,2.8597241087248246,AMGN,2006,3,0.01004276819702486,0.92,0.023700000000000054,0
"('2006', 3)",2.8128433856309725,2.8597241087248246,AMGN,2006,3,0.01004276819702486,0.92,0.023700000000000054,0
"('2006', 3)",2.8128433856309725,2.8597241087248246,AMGN,2006,3,0.01004276819702486,0.92,0.023700000000000054,0
"('2006', 3)",2.8128433856309725,2.8597241087248246,AMGN,2006,3,0.01004276819702486,0.92,0.023700000000000054,0
"('2007', 0)",-2.476991569007416,-2.626465198171657,AMGN,2007,0,-0.04393711086198147,1.045,-0.06769999999999998,0
"('2007', 0)",-2.476991569007416,-2.626465198171657,AMGN,2007,0,-0.04393711086198147,1.045,-0.06769999999999998,0
"('2007', 0)",-2.476991569007416,-2.626465198171657,AMGN,2007,0,-0.04393711086198147,1.045,-0.06769999999999998,0
"('2007', 0)",-2.476991569007416,-2.626465198171657,AMGN,2007,0,-0.04393711086198147,1.045,-0.06769999999999998,0
"('2007', 0)",-2.476991569007416,-2.626465198171657,AMGN,2007,0,-0.04393711086198147,1.045,-0.06769999999999998,0
"('2007', 0)",-2.476991569007416,-2.626465198171657,AMGN,2007,0,-0.04393711086198147,1.045,-0.06769999999999998,0
"('2007', 0)",-2.476991569007416,-2.626465198171657,AMGN,2007,0,-0.04393711086198147,1.045,-0.06769999999999998,0
"('2007', 0)",-2.476991569007416,-2.626465198171657,AMGN,2007,0,-0.04393711086198147,1.045,-0.06769999999999998,0
"('2007', 1)",1.6888167075617768,1.4762383807358193,AMGN,2007,1,-0.08216810343019874,0.95,0.02519999999999989,0
"('2007', 1)",1.6888167075617768,1.4762383807358193,AMGN,2007,1,-0.08216810343019874,0.95,0.02519999999999989,0
"('2007', 1)",1.6888167075617768,1.4762383807358193,AMGN,2007,1,-0.08216810343019874,0.95,0.02519999999999989,0
"('2007', 1)",1.6888167075617768,1.4762383807358193,AMGN,2007,1,-0.08216810343019874,0.95,0.02519999999999989,0
"('2007', 1)",1.6888167075617768,1.4762383807358193,AMGN,2007,1,-0.08216810343019874,0.95,0.02519999999999989,0
"('2007', 1)",1.6888167075617768,1.4762383807358193,AMGN,2007,1,-0.08216810343019874,0.95,0.02519999999999989,0
"('2007', 1)",1.6888167075617768,1.4762383807358193,AMGN,2007,1,-0.08216810343019874,0.95,0.02519999999999989,0
"('2007', 1)",1.6888167075617768,1.4762383807358193,AMGN,2007,1,-0.08216810343019874,0.95,0.02519999999999989,0
"('2007', 1)",1.6888167075617768,1.4762383807358193,AMGN,2007,1,-0.08216810343019874,0.95,0.02519999999999989,0
"('2007', 1)",1.6888167075617768,1.4762383807358193,AMGN,2007,1,-0.08216810343019874,0.95,0.02519999999999989,0
"('2007', 1)",1.6888167075617768,1.4762383807358193,AMGN,2007,1,-0.08216810343019874,0.95,0.02519999999999989,0
"('2007', 2)",2.3216373532487826,2.6532998322843215,AMGN,2007,2,0.10042768197024247,0.98,-0.09209999999999996,1
